o_year,o_month,Total Revenue
2010,2,3410661.1199999996
2010,5,2587973.26
2010,6,1082418.4
2010,10,6064933.75
2010,11,3458252.0
2010,12,2581786.39
2011,1,1042225.3500000001
2011,2,387002.2
2011,4,2798046.49
2011,5,272410.45
2011,6,19103.44
2011,7,97040.64
2011,9,574951.92
2011,11,5938385.58
2012,1,1012884.0
2012,2,6707849.42
2012,3,994765.42
2012,4,4556012.38
2012,5,3782781.82
2012,6,2132075.27
2012,7,4445093.92
2012,8,576782.8
2012,9,4648152.720000001
2012,10,3042246.7699999996
2013,2,3296425.02
2013,3,835759.1
2013,4,3262562.1
2013,6,1352867.4
2013,7,8545511.2
2013,8,89623.98
2013,9,71253.21
2013,10,2702770.4
2013,12,173676.25
2014,2,1819660.25
2014,4,4510578.1
2014,5,3060338.59
2014,6,75591.66
2014,7,688641.85
2014,8,455479.04
2014,9,20404.71
2014,10,1352370.65
2014,11,4647149.58
2015,1,5513227.5
2015,2,2003911.1199999999
2015,4,1059987.26
2015,7,1292409.45
2015,8,6279.09
2015,10,1904138.04
2015,11,648030.4
2016,3,197883.4
2016,5,414371.1
2016,6,568269.6
2016,7,600821.44
2016,10,221117.0
2016,11,5876405.199999999
2016,12,4493999.4799999995
2017,1,2914130.27
2017,2,7115008.640000001
2017,3,246415.95
2017,5,3097864.77
